experiment,participant_id,trial_id,trial_order,phase_id,stimulus_left,stimulus_right,response,response_side,condition_raw,device,age,gender,rt_measure
EXP2,2,exp2_t48,48,judgment,laureato,dio,dio,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t49,49,judgment,riparato,tenda,riparato,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t50,50,judgment,pentola,mente,mente,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t51,51,judgment,lavare,attivare,attivare,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t52,52,judgment,giocattolo,insipido,insipido,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t53,53,judgment,vittoria,ombrello,vittoria,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t54,54,judgment,dentista,fiducioso,fiducioso,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t55,55,judgment,grato,abbraccio,grato,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t56,56,judgment,poltrona,fiducia,fiducia,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t57,57,judgment,gatto,spaventato,spaventato,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t58,58,judgment,libreria,spazio,spazio,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t59,59,judgment,crepuscolo,orologio,crepuscolo,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t60,60,judgment,montagna,codardo,codardo,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t61,61,judgment,caos,quaderno,caos,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t62,62,judgment,genere,cioccolato,genere,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t63,63,judgment,sedile,agile,agile,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t64,64,judgment,finestra,triste,triste,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t65,65,judgment,corrotto,gonna,corrotto,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t66,66,judgment,immorale,attrezzo,immorale,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t67,67,judgment,scarafaggio,orribile,orribile,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t68,68,judgment,tromba,potenza,potenza,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t69,69,judgment,freddo,cappotto,freddo,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t70,70,judgment,latte,fetore,fetore,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t71,71,judgment,idiota,scimmia,idiota,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t72,72,judgment,paletta,collisione,collisione,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t73,73,judgment,onore,vino,onore,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t74,74,judgment,gattino,dettaglio,dettaglio,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t75,75,judgment,fetido,calza,fetido,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t76,76,judgment,facile,morbido,facile,left,1,mouse,20.0,M,keypress
EXP2,2,exp2_t77,77,judgment,piatto,insipido,insipido,right,1,mouse,20.0,M,keypress
EXP2,2,exp2_t78,78,judgment,opzione,giacca,opzione,left,1,mouse,20.0,M,keypress
