experiment,participant_id,trial_id,trial_order,phase_id,stimulus,probe_type,condition,response,accuracy,rt,age,gender,rt_measure
data_DRM,4,recognition_t76,76,recognition,bandiera,critical,new,1,0,1599,28,F,keypress
data_DRM,4,recognition_t77,77,recognition,musica,critical,new,1,0,1198,28,F,keypress
data_DRM,4,recognition_t78,78,recognition,ago,critical,new,0,1,832,28,F,keypress
data_DRM,4,recognition_t80,80,recognition,penna,critical,new,0,1,897,28,F,keypress
data_DRM,4,recognition_t81,81,recognition,fumo,critical,new,1,0,932,28,F,keypress
data_DRM,4,recognition_t82,82,recognition,ragno,critical,new,1,0,2331,28,F,keypress
data_DRM,4,recognition_t84,84,recognition,caramella,unrelated,new,0,1,1032,28,F,keypress
data_DRM,4,recognition_t86,86,recognition,denti,unrelated,new,0,1,881,28,F,keypress
data_DRM,4,recognition_t87,87,recognition,treno,unrelated,new,0,1,1181,28,F,keypress
data_DRM,4,recognition_t88,88,recognition,gigante,unrelated,new,0,1,1031,28,F,keypress
data_DRM,4,recognition_t89,89,recognition,medicina,unrelated,new,0,1,965,28,F,keypress
data_DRM,4,recognition_t90,90,recognition,bellezza,unrelated,new,0,1,1165,28,F,keypress
data_DRM,4,recognition_t91,91,recognition,equita,unrelated,new,0,1,1213,28,F,keypress
data_DRM,4,recognition_t92,92,recognition,monarca,unrelated,new,0,1,933,28,F,keypress
data_DRM,4,recognition_t93,93,recognition,nuvola,unrelated,new,0,1,1364,28,F,keypress
data_DRM,4,recognition_t94,94,recognition,onore,unrelated,new,0,1,1048,28,F,keypress
data_DRM,4,recognition_t95,95,recognition,scarpa,unrelated,new,0,1,1148,28,F,keypress
data_DRM,5,recognition_t0,0,recognition,pipa,studied,studied,1,1,999,30,M,keypress
data_DRM,5,recognition_t1,1,recognition,tabacco,studied,studied,1,1,932,30,M,keypress
data_DRM,5,recognition_t2,2,recognition,nicotina,studied,studied,1,1,2032,30,M,keypress
data_DRM,5,recognition_t3,3,recognition,inquinamento,studied,studied,1,1,931,30,M,keypress
data_DRM,5,recognition_t4,4,recognition,inchiostro,studied,studied,1,1,1015,30,M,keypress
data_DRM,5,recognition_t5,5,recognition,foglio,studied,studied,1,1,899,30,M,keypress
data_DRM,5,recognition_t6,6,recognition,nera,studied,studied,1,1,916,30,M,keypress
data_DRM,5,recognition_t7,7,recognition,scuola,studied,studied,1,1,949,30,M,keypress
data_DRM,5,recognition_t8,8,recognition,tavolo,studied,studied,1,1,1882,30,M,keypress
data_DRM,5,recognition_t9,9,recognition,gambe,studied,studied,0,0,1633,30,M,keypress
data_DRM,5,recognition_t10,10,recognition,paglia,studied,studied,1,1,965,30,M,keypress
data_DRM,5,recognition_t11,11,recognition,scomoda,studied,studied,1,1,1166,30,M,keypress
data_DRM,5,recognition_t12,12,recognition,concerto,studied,studied,1,1,1049,30,M,keypress
data_DRM,5,recognition_t13,13,recognition,ritmo,studied,studied,0,0,898,30,M,keypress
data_DRM,5,recognition_t14,14,recognition,strumento,studied,studied,1,1,1231,30,M,keypress
data_DRM,5,recognition_t15,15,recognition,arpa,studied,studied,1,1,899,30,M,keypress
data_DRM,5,recognition_t16,16,recognition,ghiaccio,studied,studied,0,0,1866,30,M,keypress
data_DRM,5,recognition_t17,17,recognition,coperta,studied,studied,1,1,1132,30,M,keypress
data_DRM,5,recognition_t18,18,recognition,neve,studied,studied,0,0,881,30,M,keypress
data_DRM,5,recognition_t19,19,recognition,tiepido,studied,studied,1,1,916,30,M,keypress
data_DRM,5,recognition_t20,20,recognition,ira,studied,studied,0,0,1064,30,M,keypress
data_DRM,5,recognition_t21,21,recognition,imbestialire,studied,studied,1,1,1733,30,M,keypress
data_DRM,5,recognition_t22,22,recognition,odio,studied,studied,1,1,1249,30,M,keypress
data_DRM,5,recognition_t23,23,recognition,malcontento,studied,studied,1,1,1016,30,M,keypress
data_DRM,5,recognition_t24,24,recognition,italia,studied,studied,1,1,948,30,M,keypress
data_DRM,5,recognition_t25,25,recognition,vento,studied,studied,1,1,1231,30,M,keypress
data_DRM,5,recognition_t26,26,recognition,alza,studied,studied,1,1,1266,30,M,keypress
data_DRM,5,recognition_t27,27,recognition,italiana,studied,studied,1,1,1149,30,M,keypress
data_DRM,5,recognition_t28,28,recognition,furfante,studied,studied,1,1,1382,30,M,keypress
data_DRM,5,recognition_t29,29,recognition,rapinatore,studied,studied,0,0,1733,30,M,keypress
data_DRM,5,recognition_t30,30,recognition,scassinare,studied,studied,0,0,1132,30,M,keypress
data_DRM,5,recognition_t31,31,recognition,assassino,studied,studied,0,0,1749,30,M,keypress
data_DRM,5,recognition_t33,33,recognition,punta,studied,studied,1,1,1082,30,M,keypress
data_DRM,5,recognition_t34,34,recognition,cucire,studied,studied,0,0,2001,30,M,keypress
