experiment,participant_id,trial_label,trial_order,phase_id,stimulus,target_word,response,emotion,rt,age,gender,rt_measure
martineztomas2026_discrete_emotionality_exp2,exp2_8,exp2_t15,15,word_decoding,puntiaguja,espada,aguja,fear,11240.3,27,unspecified,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_8,exp2_t16,16,word_decoding,descín,ruina,decir,sadness,21933.8,27,unspecified,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_8,exp2_t17,17,word_decoding,bailetín,carnaval,bailarin,happiness,6279.7,27,unspecified,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_8,exp2_t18,18,word_decoding,desabete,censura,diabetes,disgust,28960.5,27,unspecified,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_8,exp2_t19,19,word_decoding,residuera,basura,residuos,disgust,13118.7,27,unspecified,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_8,exp2_t20,20,word_decoding,dinería,lotería,banco,happiness,4733.7,27,unspecified,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_8,exp2_t21,21,word_decoding,landado,enfadado,lanzado,anger,6533,27,unspecified,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_8,exp2_t22,22,word_decoding,frórico,eufórico,floral,happiness,5840.2,27,unspecified,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_8,exp2_t23,23,word_decoding,fiminos,piojos,felinos,disgust,13718.8,27,unspecified,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_9,exp2_t0,0,word_decoding,enjauladero,prisión,jaula,fear,9249.9,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_9,exp2_t1,1,word_decoding,argola,pistola,agudo,fear,9796.4,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_9,exp2_t2,2,word_decoding,palabrostio,insulto,palabrota,anger,6150.6,18,female,keypress
martineztomas2026_discrete_emotionality_exp2,exp2_9,exp2_t3,3,word_decoding,fumaika,tabaco,cachimba,disgust,8079.1,18,female,keypress
