participant_id;stimulus;response;accuracy;rt;trial_order;age
31;miseria;1;1;733;57;31
31;blumento;2;1;636;58;31
31;giallista;2;1;577;59;31
31;arancionezione;2;1;690;60;31
31;bianchiere;2;1;655;61;31
31;rosamento;2;1;621;62;31
31;tradimento;1;1;850;63;31
31;biancomento;2;1;1222;64;31
31;rosabile;2;1;670;65;31
31;verdabile;2;1;575;66;31
31;bianchista;2;1;600;67;31
31;verdemento;2;1;694;68;31
31;blueria;2;1;682;69;31
31;eufemismo;1;1;956;70;31
31;biancozione;2;1;674;71;31
31;arancionenza;2;1;499;72;31
31;giallismo;2;1;523;73;31
31;nervoso;1;1;730;74;31
31;arancionista;2;1;583;75;31
31;bianchista;2;1;625;76;31
31;arancionezione;2;1;574;77;31
31;bluista;2;1;1294;78;31
31;rosazione;2;1;759;79;31
31;verdetore;2;1;618;80;31
31;rosismo;2;1;543;81;31
31;organismo;1;1;840;82;31
31;giallismo;2;1;631;83;31
31;rosezza;2;1;710;84;31
31;segreteria;1;1;633;85;31
31;verdenza;2;1;580;86;31
31;differenza;1;1;600;87;31
31;bluenza;2;1;516;88;31
31;bluzione;2;1;495;89;31
31;lotteria;1;1;564;90;31
31;rivista;1;1;815;91;31
31;giallomento;2;1;527;92;31
31;elemento;1;1;533;93;31
31;batteria;1;1;652;94;31
31;adorabile;1;1;718;95;31
31;arancionista;2;1;648;96;31
31;arancionoso;2;1;674;97;31
31;biancomento;2;1;1030;98;31
31;investigatore;1;1;609;99;31
31;bluezza;2;1;510;100;31
31;biancoso;2;1;618;101;31
31;arancionemento;2;1;599;102;31
31;bellezza;1;1;602;103;31
31;arancionezza;2;1;587;104;31
31;arancioneria;2;1;599;105;31
31;affidabile;2;0;820;106;31
31;verdiere;2;1;511;107;31
31;pazienza;1;1;518;108;31
31;rosenza;2;1;575;109;31
31;arancionismo;2;1;683;110;31
31;giallomento;2;1;649;111;31
31;arancioneria;2;1;762;112;31
31;famoso;1;1;660;113;31
31;verdezione;2;1;549;114;31
31;biancozione;2;1;469;115;31
31;verdezza;2;1;424;116;31
31;tempismo;1;1;552;117;31
31;scienza;1;1;558;118;31
31;arancioniere;2;1;765;119;31
31;riconoscimento;2;0;632;120;31
31;direttore;1;1;691;121;31
31;rosamento;2;1;785;122;31
31;gialleria;2;1;665;123;31
31;gialleria;2;1;419;124;31
31;arancionoso;2;1;734;125;31
31;verdiere;2;1;461;126;31
31;giornalista;2;0;551;127;31
31;cambiamento;1;1;633;128;31
31;bluismo;2;1;542;129;31
31;rosazione;2;1;601;130;31
31;arancionetore;2;1;622;131;31
31;rosezza;2;1;615;132;31
31;intelligenza;1;1;559;133;31
31;gialliere;2;1;620;134;31
31;verdoso;2;1;486;135;31
31;intervista;1;1;981;136;31
31;rosenza;2;1;636;137;31
31;rosatore;2;1;624;138;31
31;arancionezza;2;1;763;139;31
31;verdezza;2;1;697;140;31
31;biancotore;2;1;694;141;31
31;altezza;1;1;733;142;31
31;rosista;2;1;633;143;31
31;rososo;2;1;585;144;31
31;gialliere;2;1;596;145;31
31;colpevolezza;1;1;772;146;31
31;blumento;2;1;815;147;31
31;rosiere;2;1;642;148;31
31;bluismo;2;1;755;149;31
31;rosabile;2;1;1307;150;31
31;scegliere;1;1;1200;151;31
31;artista;1;1;660;152;31
31;emergenza;1;1;566;153;31
31;blutore;2;1;989;154;31
31;verdemento;2;1;626;155;31
31;pericoloso;1;1;638;156;31
31;giallotore;2;1;733;157;31
31;arancionemento;2;1;726;158;31
31;bianchenza;2;1;1077;159;31
31;biancabile;2;1;1264;160;31
31;materia;1;1;846;161;31
31;bianchiere;2;1;570;162;31
31;bluoso;2;1;577;163;31
31;verdismo;2;1;473;164;31
31;verderia;2;1;528;165;31
31;instabile;1;1;766;166;31
31;roseria;2;1;768;167;31
31;musicista;1;1;675;168;31
31;dentista;1;1;634;169;31
31;schifoso;1;1;590;170;31
31;infermiere;1;1;700;171;31
31;situazione;1;1;703;172;31
31;blutore;2;1;563;173;31
31;dottore;1;1;579;174;31
31;gialloso;2;1;576;175;31
31;giallotore;2;1;525;176;31
31;bianchismo;2;1;586;177;31
31;responsabile;1;1;576;178;31
31;movimento;1;1;686;179;31
31;bluezza;2;1;654;180;31
31;verdetore;2;1;506;181;31
31;arancionabile;2;1;453;182;31
31;verdezione;2;1;540;183;31
31;maniere;2;0;951;184;31
31;giallenza;2;1;593;185;31
31;rosatore;2;1;774;186;31
31;blueria;2;1;579;187;31
31;giallabile;2;1;559;188;31
31;esperimento;1;1;664;189;31
32;rosabile;2;1;864;1;24
32;arancionenza;2;1;1075;2;24
32;riconoscimento;1;1;818;3;24
32;giallabile;2;1;1275;4;24
32;gialloso;2;1;901;5;24
32;arancionabile;2;1;860;6;24
32;segreteria;1;1;800;7;24
32;bluiere;2;1;724;8;24
32;tempismo;1;1;773;9;24
32;esperimento;1;1;791;10;24
32;tradimento;1;1;605;11;24
32;giallenza;2;1;707;12;24
32;rosamento;2;1;859;13;24
32;biancomento;2;1;1595;14;24
32;bluoso;2;1;1331;15;24
32;verdoso;2;1;693;16;24
32;situazione;1;1;937;17;24
32;rosatore;2;1;924;18;24
32;roseria;1;0;1079;19;24
32;biancozione;2;1;1434;20;24
32;giallista;2;1;824;21;24
32;investigatore;1;1;707;22;24
32;biancoso;2;1;741;23;24
32;batteria;1;1;601;24;24
32;attenzione;1;1;626;25;24
32;movimento;1;1;532;26;24
32;pericoloso;1;1;650;27;24
32;arancionoso;2;1;735;28;24
32;responsabile;1;1;665;29;24
32;romanticismo;1;1;952;30;24
32;arancioniere;2;1;792;31;24
32;bluismo;2;1;736;32;24
32;rosista;2;1;677;33;24
32;bluzione;2;1;731;34;24
32;schifoso;1;1;749;35;24
32;artista;1;1;583;36;24
32;biancabile;2;1;680;37;24
32;verdismo;2;1;777;38;24
32;bianchismo;2;1;530;39;24
32;bluoso;2;1;598;40;24
32;organismo;1;1;644;41;24
32;gialleria;2;1;847;42;24
32;affidabile;1;1;686;43;24
32;verdismo;2;1;682;44;24
32;bianchenza;2;1;582;45;24
32;verdista;2;1;1158;46;24
32;biancotore;2;1;606;47;24
32;biancoso;2;1;634;48;24
32;bluista;2;1;1156;49;24
32;blueria;2;1;482;50;24
