participant_id,age,gender,education,handedness,session_id,trial_id,condition,stimulus,stimulus_translation,accuracy,rt,rt_measure
11,26,female,16,right,1,naming_11_1_0519,word_naming,TURBATO,upset,1,467,voice_onset
11,26,female,16,right,1,naming_11_1_0520,word_naming,RISPOSTA,answer,1,453,voice_onset
11,26,female,16,right,1,naming_11_1_0521,word_naming,PROFITTO,profit,1,0,voice_onset
11,26,female,16,right,1,naming_11_1_0522,word_naming,FALCO,hawk,1,488,voice_onset
11,26,female,16,right,1,naming_11_1_0523,word_naming,RAGAZZO,boy,1,460,voice_onset
11,26,female,16,right,1,naming_11_1_0524,word_naming,LUTTO,bereavement,1,0,voice_onset
11,26,female,16,right,1,naming_11_1_0525,word_naming,CALZA,sock,1,464,voice_onset
11,26,female,16,right,1,naming_11_1_0526,word_naming,INSIPIDO,bland,1,602,voice_onset
11,26,female,16,right,1,naming_11_1_0527,word_naming,CREDENZA,cupboard,1,477,voice_onset
11,26,female,16,right,1,naming_11_1_0528,word_naming,INTERESSE,interest,1,504,voice_onset
11,26,female,16,right,1,naming_11_1_0529,word_naming,SCARAFAGGIO,roach,1,475,voice_onset
11,26,female,16,right,1,naming_11_1_0530,word_naming,MENTO,chin,1,0,voice_onset
